dataset,config,config_label,seed,n_rows,n_features,outlier_rate,n_outliers,auc_roc,ap,f1,precision,recall,threshold,train_time_sec
17_InternetAds,F_caldm_j,CALDM-J (jointly cond.),69,1966,1555,0.1871820956256358,368,0.5615817326005332,0.21084697241464873,0.23641304347826086,0.23641304347826086,0.23641304347826086,0.6863263686578853,9.517759084701538
17_InternetAds,F_caldm_j,CALDM-J (jointly cond.),72,1966,1555,0.1871820956256358,368,0.5578474451760352,0.2088946739692473,0.266304347826087,0.266304347826087,0.266304347826087,0.7010717540524619,8.599898338317871
17_InternetAds,F_caldm_j,CALDM-J (jointly cond.),888,1966,1555,0.1871820956256358,368,0.564142678347935,0.20888087603393235,0.24456521739130435,0.24456521739130435,0.24456521739130435,0.6818548016485094,8.984233379364014
18_Ionosphere,C_latent_diff_uncond,Latent Diff (Uncond.),69,351,32,0.358974358974359,126,0.8122751322751323,0.7273577401842455,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.7704748755846268,4.703608989715576
18_Ionosphere,C_latent_diff_uncond,Latent Diff (Uncond.),72,351,32,0.358974358974359,126,0.7974603174603174,0.7259471388874706,0.5793650793650794,0.5793650793650794,0.5793650793650794,0.7397070664625901,5.100674390792847
18_Ionosphere,C_latent_diff_uncond,Latent Diff (Uncond.),888,351,32,0.358974358974359,126,0.7894885361552028,0.7351257892514117,0.6031746031746031,0.6031746031746031,0.6031746031746031,0.7327011197041242,5.002841472625732
18_Ionosphere,E_caldm_d,CALDM-D (proposed),69,351,32,0.358974358974359,126,0.7909347442680776,0.7286002806860065,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7334871536646134,11.318471908569336
18_Ionosphere,E_caldm_d,CALDM-D (proposed),72,351,32,0.358974358974359,126,0.7778483245149912,0.7385817866976417,0.6031746031746031,0.6031746031746031,0.6031746031746031,0.7151263891122279,11.26750111579895
18_Ionosphere,E_caldm_d,CALDM-D (proposed),888,351,32,0.358974358974359,126,0.8102292768959435,0.7198516511005544,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7816950709391862,11.49750566482544
18_Ionosphere,F_caldm_j,CALDM-J (jointly cond.),69,351,32,0.358974358974359,126,0.8686772486772487,0.8298021324502688,0.7063492063492064,0.7063492063492064,0.7063492063492064,0.43785726412748677,5.530797243118286
18_Ionosphere,F_caldm_j,CALDM-J (jointly cond.),72,351,32,0.358974358974359,126,0.8921693121693122,0.8651350251898942,0.746031746031746,0.746031746031746,0.746031746031746,0.4101772850904707,5.812453269958496
18_Ionosphere,F_caldm_j,CALDM-J (jointly cond.),888,351,32,0.358974358974359,126,0.8761199294532628,0.8536356421076665,0.753968253968254,0.753968253968254,0.753968253968254,0.4099014699459075,5.841852426528931
19_landsat,C_latent_diff_uncond,Latent Diff (Uncond.),69,6435,36,0.20714840714840715,1333,0.4530032939438309,0.197450217690393,0.26406601650412603,0.26406601650412603,0.26406601650412603,0.9348571230018426,20.302822828292847
19_landsat,C_latent_diff_uncond,Latent Diff (Uncond.),72,6435,36,0.20714840714840715,1333,0.3298778438239509,0.14674229078376103,0.07126781695423856,0.07126781695423856,0.07126781695423856,0.8960196217642149,20.880980968475342
19_landsat,C_latent_diff_uncond,Latent Diff (Uncond.),888,6435,36,0.20714840714840715,1333,0.3300813443266736,0.14708794425988053,0.07351837959489872,0.07351837959489872,0.07351837959489872,0.9046212822592528,21.312482357025146
19_landsat,E_caldm_d,CALDM-D (proposed),69,6435,36,0.20714840714840715,1333,0.44191589841796003,0.18272778827522673,0.2250562640660165,0.2250562640660165,0.2250562640660165,0.33115773266289894,56.4671311378479
19_landsat,E_caldm_d,CALDM-D (proposed),72,6435,36,0.20714840714840715,1333,0.41981815524441674,0.17337824762561907,0.17854463615903973,0.17854463615903976,0.17854463615903976,0.3242420648500358,56.1053626537323
19_landsat,E_caldm_d,CALDM-D (proposed),888,6435,36,0.20714840714840715,1333,0.45776202968813545,0.18625913757187323,0.218304576144036,0.218304576144036,0.218304576144036,0.3281371304158935,57.22746253013611
19_landsat,F_caldm_j,CALDM-J (jointly cond.),69,6435,36,0.20714840714840715,1333,0.5328043104464866,0.21571776883887872,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.10731210529503196,24.01540517807007
19_landsat,F_caldm_j,CALDM-J (jointly cond.),72,6435,36,0.20714840714840715,1333,0.5603812752482515,0.22542535906564434,0.2280570142535634,0.2280570142535634,0.2280570142535634,0.09669270430342022,25.460545301437378
19_landsat,F_caldm_j,CALDM-J (jointly cond.),888,6435,36,0.20714840714840715,1333,0.5282236376420644,0.21718763506323313,0.2250562640660165,0.2250562640660165,0.2250562640660165,0.10311445390752053,25.62531065940857
20_letter,C_latent_diff_uncond,Latent Diff (Uncond.),69,1600,32,0.0625,100,0.5375933333333333,0.06845975327253147,0.06,0.06,0.06,1.0528565421700478,6.1055402755737305
