method,seed,auc_roc,ap,f1,precision,recall,accuracy,threshold,train_time_sec,score_time_sec,error,dataset,n_rows,n_features,outlier_rate
DeepSVDD,69,0.5235076111515018,0.07204480225461152,0.057041678016889134,0.057041678016889134,0.057041678016889134,0.888213961629255,1.5010571250416176,364.6132650375366,0.11114120483398438,,11_donors,619326,10,0.05927411411760527
DeepSVDD,72,0.7904280870318132,0.13878328962013678,0.12915129151291513,0.127716812273599,0.13061836011985836,0.8955897217297514,2.4949543476104736,364.1982457637787,0.10654425621032715,,11_donors,619326,10,0.05927411411760527
DeepSVDD,888,0.8421387429399722,0.19069146125939107,0.22967028477263132,0.22964839175313886,0.22969218196676655,0.9086700703668181,1.7529034614562988,364.4744164943695,0.11648297309875488,,11_donors,619326,10,0.05927411411760527
CALDM-D,69,0.7517024631895673,0.13032459671306004,0.15393625715064016,0.15393625715064016,0.15393625715064016,0.8997006423111577,0.7688410988737513,4919.447569131851,132.6343958377838,,11_donors,619326,10,0.05927411411760527
CALDM-D,72,0.7336454579988367,0.12394090667590618,0.15494415690547536,0.15494415690547536,0.15494415690547536,0.8998201270413321,0.7727916665848953,4900.668980121613,133.81706643104553,,11_donors,619326,10,0.05927411411760527
CALDM-D,888,0.7050767782398694,0.11234450625335096,0.14165077635521656,0.14165077635521656,0.14165077635521656,0.8982442203298424,0.6868989746891484,4898.942938327789,135.05068349838257,,11_donors,619326,10,0.05927411411760527
CALDM-J,69,0.8064912622827729,0.1401102566974572,0.11936801961318441,0.11936801961318441,0.11936801961318441,0.8956026389978783,0.014747900393361576,1770.9701807498932,134.17650961875916,,11_donors,619326,10,0.05927411411760527
CALDM-J,72,0.7696117249905485,0.12923417305259996,0.08662489784799782,0.08662489784799782,0.08662489784799782,0.8917209999257257,0.01759991084315308,1789.6095170974731,134.0735251903534,,11_donors,619326,10,0.05927411411760527
CALDM-J,888,0.7489274668399604,0.11122543905493583,0.07210569327158813,0.07210569327158813,0.07210569327158813,0.8899997739478078,0.011784828764821427,1852.5471804141998,134.57214283943176,,11_donors,619326,10,0.05927411411760527
KNN,69,0.8363143631436315,0.1412753944493999,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,4.713503770520199,0.002003192901611328,0.017777681350708008,,14_glass,214,7,0.04205607476635514
KNN,72,0.8363143631436315,0.1412753944493999,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,4.713503770520199,0.0,0.024482011795043945,,14_glass,214,7,0.04205607476635514
KNN,888,0.8363143631436315,0.1412753944493999,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,4.713503770520199,0.0,0.010208845138549805,,14_glass,214,7,0.04205607476635514
LOF,69,0.7701897018970189,0.1052559932934265,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,2.464225320058453,0.008835554122924805,0.0,,14_glass,214,7,0.04205607476635514
LOF,72,0.7701897018970189,0.1052559932934265,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,2.464225320058453,0.0,0.0,,14_glass,214,7,0.04205607476635514
LOF,888,0.7701897018970189,0.1052559932934265,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,2.464225320058453,0.0,0.0,,14_glass,214,7,0.04205607476635514
IForest,69,0.7821138211382114,0.11139149767309076,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,0.06938907689755587,0.10169267654418945,0.015804290771484375,,14_glass,214,7,0.04205607476635514
IForest,72,0.7859078590785908,0.20725590960303097,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,0.06125262324177686,0.12225914001464844,0.008058309555053711,,14_glass,214,7,0.04205607476635514
IForest,888,0.8048780487804879,0.2150395706944964,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,0.08201995754792141,0.12986540794372559,0.0,,14_glass,214,7,0.04205607476635514
PCA,69,0.6926829268292684,0.10471642517722612,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,4965.4491133115225,0.0,0.0,,14_glass,214,7,0.04205607476635514
PCA,72,0.6926829268292684,0.10471642517722612,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,4965.4491133115225,0.0,0.0,,14_glass,214,7,0.04205607476635514
PCA,888,0.6926829268292684,0.10471642517722612,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,4965.4491133115225,0.0,0.0,,14_glass,214,7,0.04205607476635514
CBLOF,69,0.8357723577235772,0.13197184157530292,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,3.783870447453822,0.04344916343688965,0.0036237239837646484,,14_glass,214,7,0.04205607476635514
