method,seed,auc_roc,ap,f1,precision,recall,accuracy,threshold,train_time_sec,score_time_sec,error,dataset,n_train,n_test,n_features,outlier_rate,subset_pct
ECOD,72,0.6926570608126592,0.1474068428858852,0.20396600566572237,0.20396600566572237,0.20396600566572237,0.8822987350255508,29.385073090758926,3.597245454788208,4.84056830406189,,BLS,95495,23874,202,0.07392979810672698,0.2
COPOD,72,0.672890188541782,0.13696368915188273,0.18923512747875354,0.18923512747875354,0.18923512747875354,0.880120633324956,25.935379559402964,3.6250016689300537,4.441324710845947,,BLS,95495,23874,202,0.07392979810672698,0.2
LODA,72,0.5488418634586276,0.08621224174048835,0.0928652321630804,0.09281267685342388,0.09291784702549576,0.8657954259864288,0.03870619463791532,4.3361523151397705,1.0414342880249023,,BLS,95495,23874,202,0.07392979810672698,0.2
DeepSVDD,72,0.5163308316495776,0.07869689135567678,0.09008498583569405,0.09008498583569405,0.09008498583569405,0.8654603334171065,1.2518047506838998,73.80622124671936,0.022996187210083008,,BLS,95495,23874,202,0.07392979810672698,0.2
CALDM-D,72,0.7224534840707455,0.298176654050777,0.2770538243626062,0.2770538243626062,0.2770538243626062,0.8931054703861941,1.5234233283802856,785.8791139125824,5.283231735229492,,BLS,95495,23874,202,0.07392979810672698,0.2
CALDM-J,72,0.7031685275003053,0.23160267350297437,0.2674220963172805,0.2674220963172805,0.2674220963172805,0.8916813269665745,0.021206831311903953,345.649621963501,5.484944581985474,,BLS,95495,23874,202,0.07392979810672698,0.2
KNN,888,0.7601917079132913,0.2486723389390309,0.2543909348441926,0.2543909348441926,0.2543909348441926,0.8897545446929714,2.0002141632676733,18.704272270202637,529.9229800701141,,BLS,95495,23874,202,0.07392979810672698,0.2
LOF,888,0.6486080105047398,0.09668471195142872,0.04645892351274787,0.04645892351274788,0.04645892351274788,0.8590098014576527,5.079277631235246,15.422366857528687,4.031970977783203,,BLS,95495,23874,202,0.07392979810672698,0.2
IForest,888,0.6428938671995574,0.12798522248303873,0.16487252124645893,0.16487252124645893,0.16487252124645893,0.8765183882047416,0.0024041305526707976,1.3049943447113037,0.11403059959411621,,BLS,95495,23874,202,0.07392979810672698,0.2
PCA,888,0.5764001354607106,0.08814718716598982,0.08555240793201133,0.08555240793201133,0.08555240793201133,0.8647901482784619,2.4949086100676428e+20,3.14646315574646,0.680877685546875,,BLS,95495,23874,202,0.07392979810672698,0.2
CBLOF,888,0.7200275175389715,0.2771535165619346,0.2725212464589235,0.2725212464589235,0.2725212464589235,0.8924352852475497,2.6005774029003876,6.566545486450195,0.046941518783569336,,BLS,95495,23874,202,0.07392979810672698,0.2
HBOS,888,0.6491826165930146,0.12309975466605647,0.16373937677053824,0.16373937677053824,0.16373937677053824,0.8763508419200804,-632.9242761394711,0.7987451553344727,0.06407523155212402,,BLS,95495,23874,202,0.07392979810672698,0.2
ECOD,888,0.7070081441716082,0.1536937905831437,0.21643059490084987,0.21643059490084987,0.21643059490084987,0.8841417441568233,29.45767273448268,3.239725351333618,4.478742361068726,,BLS,95495,23874,202,0.07392979810672698,0.2
COPOD,888,0.6876787259415333,0.14422347440082106,0.20906515580736543,0.20906515580736543,0.20906515580736543,0.8830526933065259,26.01491216593868,3.36386775970459,4.251120090484619,,BLS,95495,23874,202,0.07392979810672698,0.2
LODA,888,0.49626674535654336,0.07373692828563558,0.06685552407932012,0.06685552407932012,0.06685552407932012,0.8620256345815531,0.04439517868741168,4.1867897510528564,1.0131442546844482,,BLS,95495,23874,202,0.07392979810672698,0.2
DeepSVDD,888,0.5558637561491948,0.0858064191803792,0.08498583569405099,0.08498583569405099,0.08498583569405099,0.8647063751361314,1.1485291979186467,69.44420027732849,0.04554152488708496,,BLS,95495,23874,202,0.07392979810672698,0.2
CALDM-D,888,0.7472457411303794,0.31989264615936747,0.288385269121813,0.288385269121813,0.288385269121813,0.8947809332328056,1.60608551010291,782.6052992343903,5.2149879932403564,,BLS,95495,23874,202,0.07392979810672698,0.2
CALDM-J,888,0.683878138150705,0.25667023261569777,0.2679886685552408,0.2679886685552408,0.2679886685552408,0.8917651001089051,0.01515468087131912,352.7890260219574,5.4189393520355225,,BLS,95495,23874,202,0.07392979810672698,0.2
