accuracy,precision,recall,f1,auc_roc,ap,threshold,auc_type_HRS,auc_type_INA,auc_type_LRS,auc_type_PER,auc_type_PVO,config,label,seed,train_time_sec
0.8934031413612565,0.2761743067345784,0.2782212086659065,0.2771939789832434,0.7213192966825922,0.2748778116561121,0.02177681880444287,0.6204285050630153,0.8893336581758227,0.7253725967684442,0.6238920944476558,0.7368183386802294,D_cxt_in_vae,Context in VAE only,7,152.62074065208435
0.8909738219895288,0.2597623089983022,0.26168757126567843,0.2607213859698949,0.6675271984184425,0.2557168197158752,0.020179918587207784,0.672831885412691,0.8873568662781092,0.5069140961670573,0.6576137818401114,0.7893740413814434,D_cxt_in_vae,Context in VAE only,42,152.16372394561768
0.8960837696335079,0.2942840973401245,0.29646522234891676,0.2953706333428004,0.7125278935173432,0.2905853022561233,0.024775231108069413,0.6683250156646477,0.9633897447119417,0.6456701628376271,0.5128713417275264,0.7406929547696314,D_cxt_in_vae,Context in VAE only,888,152.15151071548462
0.886869109947644,0.2320316921335597,0.233751425313569,0.23288838398182335,0.6821078321331773,0.21206302479374792,0.01970730609446764,0.6058773701737401,0.835569025761903,0.6646387491746215,0.5977919316101865,0.7213875596785984,D_cxt_in_vae,Context in VAE only,1337,153.45042610168457
0.8846910994764398,0.21731748726655348,0.21892816419612315,0.21811985231468334,0.6551706492285587,0.1777159343443595,0.021171898387372486,0.6290666877439628,0.8059722878419163,0.5755206646603146,0.5873637931415897,0.7621734212452476,D_cxt_in_vae,Context in VAE only,2024,150.75187587738037
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7445723909809411,0.3186210334025889,0.760042699813841,0.6158485633871015,0.9831448620146183,0.7494205120718315,0.5239475919194911,0.7947955395844465,E_cxt_in_diff,CALDM (proposed),7,158.03747034072876
0.8939895287958115,0.2801358234295416,0.282212086659065,0.2811701221243964,0.7481666089951932,0.330754069952631,0.73477434515953,0.5901562855814472,0.9729700644844346,0.7854670400724479,0.5245158719242746,0.7950304621155923,E_cxt_in_diff,CALDM (proposed),42,161.57929730415344
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7392241113803592,0.3036537819641215,0.8565825686454749,0.6810840791447456,0.9766722820678277,0.6709389712764593,0.5554517850083727,0.8213894617853174,E_cxt_in_diff,CALDM (proposed),888,158.37684965133667
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7491876981979027,0.33430879813795034,0.7676984438896172,0.5745944085078845,0.9765394646953155,0.8054424954849667,0.5175631383932535,0.7778803762614117,E_cxt_in_diff,CALDM (proposed),1337,159.1513512134552
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7589387218644094,0.33329600216794786,0.7664840073585507,0.6103165720271639,0.9771072722978832,0.7972578537862917,0.5373386413410959,0.7884417620622591,E_cxt_in_diff,CALDM (proposed),2024,162.54151916503906
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7219684164791378,0.2756279732421052,0.021709552794694827,0.6221322792680326,0.8893447929655866,0.7251183690892343,0.6245584809017842,0.7388750842052763,F_full_caldm,CALDM + VAE context,7,152.50028014183044
0.8905549738219896,0.2569326542161856,0.2588369441277081,0.2578812837262141,0.664897497783132,0.25251304222599985,0.020364232257008532,0.6730890704038391,0.8790923852839951,0.503664161567415,0.6555134702399215,0.7912541627111492,F_full_caldm,CALDM + VAE context,42,151.87394905090332
0.8964188481675393,0.2965478211658178,0.29874572405929306,0.29764271513774493,0.7146273525051421,0.2909993548298527,0.02467381655424833,0.6684908489980594,0.963187451585334,0.6510132794221942,0.5149482488479706,0.7413438705105033,F_full_caldm,CALDM + VAE context,888,151.02176332473755
0.8873717277486911,0.2354272778720996,0.23717217787913342,0.2362965066742403,0.6858200133535278,0.21735475132132043,0.01972284016758203,0.6142091206735663,0.8430408030703749,0.6616247375648538,0.6013511758827416,0.7285315760831572,F_full_caldm,CALDM + VAE context,1337,150.5626356601715
0.8841884816753927,0.21392190152801357,0.21550741163055873,0.2147117296222664,0.6511873613958101,0.17378560785174343,0.020880000613629816,0.6269942644880486,0.7927565592246133,0.5740655530202367,0.5853498857508719,0.7603256604324501,F_full_caldm,CALDM + VAE context,2024,151.80602049827576
